GEOID,County_Name,NOAA_CDD_Recent5yr,NOAA_CDD_Trend_perDecade,NOAA_Tmax_Summer_Recent5yr_F,NOAA_Tmax_Summer_Trend_perDecade_F,NOAA_Heat_Data_Recent_Year,HWAV_AFREQ,HWAV_RISKS,HWAV_RISKR,HWAV_EALT,HWAV_EALR,HWAV_ALR_NPCTL,SOVI_SCORE,RESL_SCORE,EAL_SCORE,NOAA_Tmax_Trend_Positive,Heat_Climate_Stress_Index,Heat_Climate_Data_Coverage_Pct,Heat_Climate_Source
17093,Kendall County,921.0,-47.321,83.58,-0.4,2024,3.5265036921384314,61.881824020552344,Relatively Low,1100807.1818285165,Relatively Low,71.48657089319175,10.62340967,96.02417302798982,88.33539603960396,0.0,43.6,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17095,Knox County,997.6,-32.25,83.7,-0.889,2024,6.421052631578942,80.28259473346179,Relatively Moderate,1430178.3488001276,Relatively Low,13.085571517801375,49.80916031,65.99872773536896,56.745049504950494,0.0,37.7,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17097,Lake County,839.0,52.0,82.48,0.318,2024,2.4994859352387895,92.51766217084136,Relatively Moderate,4990712.873916212,Relatively Moderate,67.61399125546534,14.05852417,78.05343511450383,97.06064356435643,0.318,56.0,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17099,LaSalle County,927.8,-56.357,83.62,-0.643,2024,4.368421052631592,69.68529222864484,Relatively Low,909376.1702954991,Relatively Low,14.990630855715178,38.93129771,90.64885496183206,86.38613861386139,0.0,31.7,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17101,Lawrence County,1289.4,-103.0,85.62,-1.95,2024,8.000000000000002,57.257546563904945,Relatively Low,450821.6464922665,Relatively Low,64.6158650843223,57.34732824,47.29643765903308,47.30816831683168,0.0,54.0,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17103,Lee County,880.6,7.5,83.2,-0.161,2024,3.7368421052631553,31.856133590237633,Very Low,172366.70260736294,Very Low,16.770768269831354,23.15521628,82.72900763358778,61.78836633663366,0.0,13.5,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17105,Livingston County,1026.8,-17.857,84.4,-0.379,2024,4.999999999999999,49.10083493898523,Relatively Low,385351.4512415729,Relatively Low,75.5153029356652,30.4389313,90.04452926208651,74.9690594059406,0.0,43.9,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17107,Logan County,1120.0,-24.607,84.88,-0.818,2024,7.684210526315786,74.95183044315993,Relatively Low,1173184.7974943097,Relatively Low,7.30793254216115,38.35877863,82.1882951653944,61.045792079207914,0.0,39.8,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17109,McDonough County,1068.4,-22.536,83.76,-1.118,2024,9.0,82.20937700706486,Relatively Moderate,1427687.1727419693,Relatively Low,32.01124297314178,61.86386768,74.33206106870229,35.36509900990099,0.0,45.6,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17111,McHenry County,802.6,34.464,83.28,0.636,2024,2.7909513889239563,75.49775208734746,Relatively Low,1844123.1879097596,Relatively Moderate,73.36039975015616,10.62340967,84.00127226463104,93.84282178217822,0.636,56.5,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17113,McLean County,1048.2,-28.071,84.58,-0.782,2024,6.263157894736848,85.22800256904303,Relatively Moderate,2616538.4695539875,Relatively Moderate,69.14428482198626,15.07633588,95.45165394402035,89.01608910891089,0.0,58.9,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17115,Macon County,1138.0,-32.143,84.88,-0.8,2024,7.3157894736841955,90.26974951830444,Relatively Moderate,2892478.3391292193,Relatively Moderate,6.901936289818863,50.76335878,90.96692111959288,82.70420792079209,0.0,46.8,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17117,Macoupin County,1246.8,-39.071,85.7,-1.075,2024,9.421052631578963,91.45793192035967,Relatively Moderate,3176029.2865259736,Relatively Moderate,20.2685821361649,50.69974555,72.74173027989822,78.96039603960396,0.0,55.8,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17119,Madison County,1411.0,-87.571,86.68,-1.482,2024,14.736842105263108,98.00899165061014,Relatively High,16545101.606171148,Relatively High,30.855715178013742,25.89058524,86.19592875318067,94.3069306930693,0.0,68.1,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17121,Marion County,1342.0,4.179,86.64,-0.414,2024,10.52631578947367,83.26910725754657,Relatively Moderate,1529486.0903877816,Relatively Moderate,15.084322298563398,68.57506361,96.50127226463104,73.08168316831683,0.0,55.6,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17123,Marshall County,1029.2,-22.429,84.3,-0.621,2024,6.421052631578943,34.77842003853564,Very Low,169260.38747981636,Very Low,10.181136789506558,45.70610687,92.04834605597965,29.61014851485149,0.0,19.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
