GEOID,County_Name,Grid_Primary_Subregion,Grid_Primary_Subregion_Area_Pct,Grid_Subregion_Coverage_Pct,Grid_Clean_Share_Pct,Grid_Fossil_Share_Pct,Grid_Carbon_Intensity_lb_per_MWh,Grid_Carbon_Intensity_kg_per_MWh,Grid_Est_CO2_kt_per_100MWyr,eGRID_Data_Year,Grid_Source
17157,Randolph County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17159,Richland County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17161,Rock Island County,MROW,62.6,100.0,44.79,55.21,983.85,446.27,430.93,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17163,St. Clair County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17165,Saline County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17167,Sangamon County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17169,Schuyler County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17171,Scott County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17173,Shelby County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17175,Stark County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17177,Stephenson County,RFCW,100.0,100.0,36.09,63.91,911.34,413.38,399.17,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17179,Tazewell County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17181,Union County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17183,Vermilion County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17185,Wabash County,SRMW,100.0,100.0,31.79,68.21,1238.17,561.62,542.32,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17187,Warren County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17189,Washington County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17191,Wayne County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17193,White County,SRMW,100.0,100.0,31.79,68.21,1238.25,561.66,542.35,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17195,Whiteside County,RFCW,82.4,100.0,35.33,64.67,969.0,439.53,424.42,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17197,Will County,RFCW,100.0,100.0,36.09,63.91,911.34,413.37,399.16,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17199,Williamson County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17201,Winnebago County,RFCW,100.0,100.0,36.09,63.91,911.34,413.38,399.17,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17203,Woodford County,SRMW,99.8,100.0,31.8,68.2,1237.7,561.41,542.11,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
