GEOID,County_Name,LandCover_Agricultural_Pct,LandCover_Forested_Pct,LandCover_UrbanBuiltUp_Pct,LandCover_Wetland_Pct,LandCover_Agricultural_Rank,LandCover_Forested_Rank,LandCover_UrbanBuiltUp_Rank,LandCover_Wetland_Rank,Total_Site_Count,Chicago_Zoning_Site_Covered_Count,Chicago_Zoning_Residential_Site_Count,Chicago_Zoning_Industrial_Site_Count,Chicago_Zoning_Commercial_Site_Count,Chicago_Zoning_Special_Site_Count,Chicago_Zoning_Residential_Nearby500m_Count,Chicago_Zoning_Coverage_Pct,Chicago_Zoning_Residential_Site_Share_Pct,Chicago_Zoning_IndustrialCommercial_Site_Share_Pct,Chicago_Zoning_Residential_Nearby500m_Share_Pct,Zoning_Annoyance_Threshold_Index,Zoning_Allowance_Index,LandUse_Zoning_Data_Coverage_Pct,LandUse_Zoning_Source
17021,Christian County,90.6,3.0,2.6,3.1,13.0,93.0,31.0,50.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17023,Clark County,72.8,23.4,1.4,1.5,70.0,11.0,31.0,89.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17025,Clay County,77.4,17.4,1.0,3.8,56.0,24.0,31.0,43.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17027,Clinton County,73.4,4.2,3.4,12.6,68.0,86.0,31.0,3.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17029,Coles County,83.1,9.6,3.8,3.0,35.0,62.0,31.0,52.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17031,Cook County,3.8,12.8,79.6,1.4,102.0,42.0,31.0,91.0,49.0,20.0,0.0,2.0,8.0,10.0,3.0,40.82,0.0,50.0,6.12,17.14,50.0,100.0,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17033,Crawford County,73.8,19.7,1.6,4.0,65.0,17.0,31.0,40.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17035,Cumberland County,79.3,17.5,1.2,1.2,51.0,23.0,31.0,93.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17037,DeKalb County,92.1,1.7,4.8,0.9,8.0,94.0,31.0,97.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.74,,66.7,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17039,De Witt County,90.0,3.3,2.5,2.2,14.0,92.0,31.0,74.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
