GEOID,County_Name,EJScreen_BlockGroup_Count,EJScreen_Pop_Weighted_Minority_Pct,EJScreen_Pop_Weighted_LowIncome_Pct,EJScreen_Pop_Weighted_PM25,EJScreen_Pop_Weighted_Ozone,EJScreen_Pop_Weighted_DieselPM,EJScreen_Pop_Weighted_PM25_Pctl,EJScreen_Pop_Weighted_Ozone_Pctl,EJScreen_Pop_Weighted_DieselPM_Pctl,EJScreen_Pop_Weighted_CancerRisk_Pctl,EJScreen_Pop_Weighted_RespHazard_Pctl,EJScreen_Pop_Weighted_TrafficProx_Pctl,EJScreen_Pollution_Burden_Index,EJScreen_Demographic_Burden_Index,EJScreen_Justice_Index,E_TOTPOP,EP_POV150,EP_HBURD,EP_NOHSDP,EP_NOVEH,EP_UNEMP,EP_UNINSUR,EP_GROUPQ,CDC_SVI_Overall_Pctl,CDC_SVI_Theme1_SES_Pctl,CDC_SVI_Theme2_HHDisability_Pctl,CDC_SVI_Theme3_MinorityLanguage_Pctl,CDC_SVI_Theme4_HousingTransport_Pctl,Justice_EJ_Burden_Index,Justice_CDC_SVI_Index,Social_Environmental_Justice_Index,Justice_Data_Coverage_Pct,Justice_Source
17105,Livingston County,35,10.75,31.73,8.5,45.81,0.22,47.38,75.66,23.25,11.47,10.07,26.77,32.43,21.24,27.95,35757,20.7,22.4,10.2,6.2,4.9,4.7,6.2,38.06,31.19,40.29,35.52,55.0,27.95,38.06,28.4,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17107,Logan County,29,13.49,24.93,9.08,47.02,0.23,67.24,82.4,23.71,14.7,14.66,32.03,39.12,19.21,31.16,28818,17.7,19.4,10.0,5.6,5.7,3.7,13.8,18.14,21.45,3.47,43.0,45.39,31.16,18.14,24.13,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17109,McDonough County,34,11.86,39.43,8.55,45.33,0.23,49.4,73.11,24.23,15.0,14.05,32.56,34.73,25.64,31.09,30107,30.9,28.2,4.8,10.0,9.1,5.4,10.7,46.12,60.66,2.64,39.34,81.73,31.09,46.12,36.18,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17111,McHenry County,164,18.45,17.8,8.5,45.67,0.4,47.94,74.86,51.18,22.14,21.0,38.55,42.61,18.12,32.81,307291,9.9,22.8,6.7,3.8,4.7,4.9,0.6,11.52,15.47,28.58,54.39,6.02,32.81,11.52,23.5,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17113,McLean County,108,20.52,29.75,8.97,46.49,0.35,63.58,79.73,43.32,20.39,19.27,51.13,46.24,25.14,37.8,172164,21.6,21.3,3.8,6.4,3.3,4.0,4.8,20.05,10.69,6.84,56.21,63.65,37.8,20.05,34.01,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17115,Macon County,99,23.52,34.18,9.28,47.7,0.29,73.93,84.59,33.92,29.75,20.41,44.92,47.92,28.85,40.29,104688,23.9,22.0,8.7,9.6,7.7,4.3,3.5,52.58,42.11,47.29,61.46,64.93,40.29,52.58,51.53,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17117,Macoupin County,52,3.83,31.46,8.91,47.58,0.24,61.74,83.98,25.35,24.63,21.47,27.45,40.77,17.64,31.52,45243,22.9,20.4,8.4,4.2,5.5,4.1,2.0,13.88,27.63,22.12,5.47,13.72,31.52,13.88,22.77,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17119,Madison County,195,14.74,28.6,9.2,49.4,0.41,71.42,87.48,52.13,60.9,44.39,42.42,59.79,21.67,44.54,264403,19.3,23.2,7.3,5.5,5.4,4.9,2.1,25.81,28.01,30.59,46.82,26.99,44.54,25.81,45.7,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17121,Marion County,43,8.7,40.13,9.1,47.76,0.27,67.96,84.77,30.07,35.3,30.17,33.07,46.89,24.42,37.9,37524,26.9,20.7,10.5,6.1,8.8,6.5,2.0,55.47,57.48,63.08,30.46,52.74,37.9,55.47,49.52,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17123,Marshall County,12,5.23,27.34,8.72,46.33,0.24,55.82,78.78,25.82,11.76,11.1,14.61,32.98,16.28,26.3,11562,19.2,17.5,7.6,3.9,4.4,4.5,2.4,6.81,11.55,15.66,14.45,11.23,26.3,6.81,12.58,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17125,Mason County,20,3.41,38.98,8.88,46.62,0.21,60.71,80.4,20.63,14.26,13.33,17.52,34.47,21.2,29.16,13486,23.7,19.4,10.9,4.5,6.1,5.5,1.7,14.93,39.08,30.27,2.86,5.76,29.16,14.93,20.01,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
