OBJECTID,ID,STATE_NAME,ST_ABBREV,ACSTOTPOP,MINORPCT,LOWINCPCT,PM25,OZONE,DSLPM,P_PM25,P_OZONE,P_DSLPM,P_CANCR,P_RESP,P_PTRAF
67277,171430031013,Illinois,IL,1594,0.35884567126725203,0.205771643663739,9.21803945205479,47.4449725490196,0.357540858,71.8505127251851,83.7606611422244,45.3148705313232,25.6164845971803,22.8849190668431,38.702563429027
67278,171430031021,Illinois,IL,1457,0.110501029512697,0.180507892930679,9.22138219178082,47.5054849673203,0.3524331908,71.9947396429257,83.9549244622208,44.6013297023154,25.558667897185,21.2920939510346,68.7365271858861
67279,171430031022,Illinois,IL,2029,0.381961557417447,0.12442396313364,9.22138219178082,47.5054849673203,0.3524331908,71.9947396429257,83.9549244622208,44.6013297023154,25.558667897185,21.2920939510346,55.8632909081095
67280,171430031023,Illinois,IL,784,0.1875,0.284438775510204,9.22138219178082,47.5054849673203,0.3524331908,71.9947396429257,83.9549244622208,44.6013297023154,25.558667897185,21.2920939510346,48.1175048125129
67281,171430031024,Illinois,IL,1800,0.255555555555555,0.228333333333333,9.22138219178082,47.5054849673203,0.3524331908,71.9947396429257,83.9549244622208,44.6013297023154,25.558667897185,21.2920939510346,58.1170443027431
67282,171430032001,Illinois,IL,2102,0.204567078972407,0.344433872502378,9.22843068493151,47.5527267973856,0.3565443852,72.2447623363646,84.113510562843,45.1843557561253,27.9552369026829,22.1269946454806,58.5755308644828
67283,171430032002,Illinois,IL,2141,0.275572162540868,0.154600653900046,9.22843068493151,47.5527267973856,0.3565443852,72.2447623363646,84.113510562843,45.1843557561253,27.9552369026829,22.1269946454806,55.4674922065612
67284,171430033001,Illinois,IL,2516,0.09777424483306829,0.132115548003398,9.23398,47.5966928104575,0.3447924252,72.4567167957185,84.2300049524153,43.3880151252294,26.7100684936693,21.0319271653818,44.5075151509108
67285,171430033002,Illinois,IL,645,0.27906976744186,0.153488372093023,9.23398,47.5966928104575,0.3447924252,72.4567167957185,84.2300049524153,43.3880151252294,26.7100684936693,21.0319271653818,75.8358157865536
67286,171430034011,Illinois,IL,1063,0.0348071495766698,0.0460959548447789,9.19600712328767,47.4671888888889,0.3325056728,71.0841671005947,83.8227548807574,41.3812014089193,22.7191774677894,19.9417258643066,56.811986248627
67287,171430034012,Illinois,IL,3062,0.308621815806662,0.202594810379241,9.19600712328767,47.4671888888889,0.3325056728,71.0841671005947,83.8227548807574,41.3812014089193,22.7191774677894,19.9417258643066,53.1569799763105
67288,171430034013,Illinois,IL,6140,0.371335504885993,0.150814332247556,9.19600712328767,47.4671888888889,0.3325056728,71.0841671005947,83.8227548807574,41.3812014089193,22.7191774677894,19.9417258643066,25.4221448463955
67289,171430034014,Illinois,IL,582,0.285223367697594,0.11340206185567,9.19600712328767,47.4671888888889,0.3325056728,71.0841671005947,83.8227548807574,41.3812014089193,22.7191774677894,19.9417258643066,52.3635634512318
