ST_ABBR,COUNTY,FIPS,E_TOTPOP,EP_POV150,EP_HBURD,EP_NOHSDP,EP_NOVEH,EP_UNEMP,EP_UNINSUR,EP_GROUPQ,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
IL,Menard,17129,12261,14.1,13.6,4.8,4.1,4.9,2.4,1.0,0.0366,0.1827,0.0703,0.0299,0.0165
IL,Mercer,17131,15503,18.7,19.0,7.8,4.9,4.1,3.5,1.4,0.1066,0.1986,0.0907,0.0834,0.0598
IL,Monroe,17133,34444,7.2,17.6,4.2,2.9,2.4,2.5,0.7,0.0038,0.0474,0.0302,0.0076,0.0016
IL,Montgomery,17135,28598,23.9,19.7,11.9,6.7,4.5,4.0,10.5,0.2903,0.0878,0.2148,0.577,0.2505
IL,Morgan,17137,34012,24.5,23.4,10.2,7.5,5.5,3.8,9.3,0.4087,0.5382,0.3845,0.7317,0.5245
IL,Moultrie,17139,14557,17.5,16.7,14.0,12.9,3.1,14.2,2.4,0.3294,0.261,0.0239,0.7556,0.3558
IL,Ogle,17141,50793,18.3,20.4,9.6,6.7,6.2,4.4,1.2,0.2782,0.5602,0.4341,0.3622,0.3485
IL,Peoria,17143,181111,24.0,25.4,8.2,9.6,7.6,6.2,2.9,0.557,0.6143,0.6929,0.7435,0.6785
IL,Perry,17145,21092,26.2,19.4,16.8,7.6,5.7,3.7,12.5,0.4596,0.5328,0.4367,0.8507,0.6031
IL,Piatt,17147,16412,10.2,16.1,6.2,2.2,3.7,3.9,0.5,0.0216,0.0812,0.0458,0.0086,0.0035
IL,Pike,17149,15571,26.5,19.8,10.3,6.4,5.5,5.8,2.8,0.4122,0.7473,0.0643,0.2661,0.3784
IL,Pope,17151,4177,30.6,18.6,11.2,8.4,6.8,2.2,5.5,0.4328,0.7588,0.3421,0.4787,0.5086
IL,Pulaski,17153,5414,34.7,16.7,10.4,10.3,6.5,4.7,0.8,0.4443,0.6833,0.753,0.3736,0.5271
IL,Putnam,17155,5720,14.1,14.7,7.0,3.7,2.7,2.8,0.1,0.0111,0.2909,0.2613,0.015,0.0162
IL,Randolph,17157,31973,24.9,17.6,15.2,6.6,4.4,4.9,12.0,0.3246,0.3272,0.4656,0.6378,0.4163
IL,Richland,17159,15677,21.1,14.7,9.0,6.5,4.7,3.5,2.0,0.1369,0.8431,0.1066,0.4443,0.3065
IL,Rock Island,17161,142801,22.0,22.9,11.1,8.3,5.8,5.6,3.4,0.4564,0.845,0.6655,0.7342,0.6891
IL,St. Clair,17163,261186,22.9,27.9,8.3,8.7,5.4,5.9,1.4,0.4799,0.5598,0.7826,0.4736,0.5544
IL,Saline,17165,23735,30.6,22.2,12.6,9.9,7.9,5.7,2.0,0.6665,0.8297,0.2702,0.7899,0.7412
IL,Sangamon,17167,195963,21.0,23.2,7.5,7.8,5.0,3.7,2.1,0.2559,0.5115,0.5519,0.6238,0.4303
IL,Schuyler,17169,6897,22.9,16.9,9.0,4.2,7.2,8.2,11.8,0.4039,0.5363,0.2148,0.4564,0.4109
IL,Scott,17171,4982,18.9,14.4,6.1,3.6,3.6,3.1,1.0,0.0379,0.2998,0.0239,0.0204,0.0178
IL,Shelby,17173,21623,18.7,16.2,6.6,3.2,4.0,3.8,1.0,0.0627,0.12,0.0105,0.2508,0.064
IL,Stark,17175,5393,22.0,15.3,10.5,3.4,3.2,5.0,1.8,0.1404,0.0614,0.1181,0.014,0.0194
IL,Stephenson,17177,44683,24.2,24.1,7.9,9.0,6.8,5.1,1.8,0.4659,0.7479,0.521,0.4694,0.5516
IL,Tazewell,17179,132524,15.7,18.6,6.8,6.0,4.2,4.5,2.0,0.0834,0.1607,0.1655,0.267,0.0948
IL,Union,17181,16829,27.6,19.3,10.8,7.8,5.2,6.2,2.8,0.4246,0.4879,0.2928,0.7721,0.5172
IL,Vermilion,17183,76704,29.0,21.4,10.4,9.4,5.8,5.5,3.5,0.4927,0.7654,0.5786,0.7091,0.6582
IL,Wabash,17185,11390,23.7,18.3,8.4,10.3,4.4,6.1,0.8,0.2336,0.8727,0.1445,0.4764,0.4096
IL,Warren,17187,16981,21.1,16.8,12.0,5.7,8.5,5.6,6.7,0.3927,0.5792,0.5006,0.6881,0.5328
IL,Washington,17189,13967,13.3,16.6,8.4,3.4,5.2,2.7,1.8,0.0955,0.1719,0.0426,0.0901,0.0509
IL,Wayne,17191,16309,23.5,18.0,12.5,9.0,3.7,10.5,0.4,0.3819,0.6321,0.0344,0.6012,0.4386
IL,White,17193,13712,28.6,17.8,9.1,6.7,6.0,6.2,2.9,0.4029,0.7174,0.0344,0.4873,0.4383
IL,Whiteside,17195,55583,16.9,20.0,8.7,5.1,3.7,5.4,1.9,0.141,0.7371,0.4777,0.2088,0.2549
IL,Will,17197,689704,11.7,22.6,8.5,3.3,4.9,5.1,1.3,0.2011,0.4061,0.7623,0.1496,0.2412
IL,Williamson,17199,66929,22.4,22.9,7.6,6.9,5.3,5.8,3.1,0.3421,0.6897,0.3421,0.4147,0.43
IL,Winnebago,17201,283635,25.4,26.3,12.2,8.6,7.8,6.1,1.5,0.6964,0.8593,0.7043,0.5484,0.7629
IL,Woodford,17203,38503,12.2,18.1,5.5,3.8,3.6,4.2,2.8,0.0328,0.133,0.0703,0.0808,0.0226
