"FID","Data_Year","eGRID_subregion_acronym","Plant_annual_net_generation__MW","Plant_annual_CO2_emissions__ton","Plant_annual_coal_net_generatio","Plant_annual_oil_net_generation","Plant_annual_gas_net_generation","Plant_annual_other_fossil_net_g","Plant_annual_nuclear_net_genera","Plant_annual_hydro_net_generati","Plant_annual_biomass_net_genera","Plant_annual_wind_net_generatio","Plant_annual_solar_net_generati"
"6782","2023","SRVC","20985",,"0","0","0","0","0","0","0","0","20985"
"6783","2023","MROW","65.658","47.037","0","65.66","0","0","0","0","0","0","0"
"6784","2023","SRVC","7340",,"0","0","0","0","0","0","0","0","7340"
"6785","2023","MROW","2168",,"0","0","0","0","0","0","0","0","2168"
"6786","2023","SRVC","10131",,"0","0","0","0","0","0","0","0","10131"
"6787","2023","MROW","2096",,"0","0","0","0","0","0","0","0","2096"
"6788","2023","SRVC","9005",,"0","0","0","0","0","0","0","0","9005"
"6789","2023","MROW","327",,"0","0","0","0","0","0","0","0","327"
"6790","2023","NWPP","10959",,"0","0","0","0","0","10959","0","0","0"
"6791","2023","MROW","3679",,"0","0","0","0","0","0","0","3679","0"
"6792","2023","SRVC","3878968","1598662","0","1030.458","3877938","0","0","0","0","0","0"
"6793","2023","MROW","2003",,"0","0","0","0","0","0","0","0","2003"
"6794","2023","MROW","2156",,"0","0","0","0","0","0","0","0","2156"
"6795","2023","MROW","6734",,"0","0","0","0","0","0","0","0","6734"
"6796","2023","MROW","69","36.259","0","64.548","4.452","0","0","0","0","0","0"
"6797","2023","SRVC","-216",,"0","0","0","0","0","0","0","0","0"
"6798","2023","MROW","701188",,"0","0","0","0","0","701188","0","0","0"
"6799","2023","MROW","7840",,"0","0","0","0","0","0","0","0","7840"
"6800","2023","MROW","713",,"0","0","0","0","0","0","0","0","713"
"6801","2023","MROW","6549",,"0","0","0","0","0","0","0","0","6549"
"6802","2023","MROW","2147",,"0","0","0","0","0","0","0","0","2147"
"6803","2023","SRVC","7169",,"0","0","0","0","0","0","0","0","7169"
"6804","2023","SRVC","108153","14540.23","35763.68","8004.083","18494.59","0","0","0","45890.64","0","0"
"6805","2023","MROW","1541","1390.035","0","60.533","1480.467","0","0","0","0","0","0"
"6806","2023","MROW","1354",,"0","0","0","0","0","0","0","0","1354"
"6807","2023","MROW","1692",,"0","0","0","0","0","0","0","0","1692"
"6808","2023","MROW","192004",,"0","0","0","0","0","0","0","192004","0"
"6809","2023","MROW","2216",,"0","0","0","0","0","0","0","0","2216"
"6810","2023","NWPP","66472",,"0","0","0","0","0","0","0","66472","0"
"6811","2023","SRVC","9238",,"0","0","0","0","0","0","0","0","9238"
"6812","2023","MROW","3679",,"0","0","0","0","0","0","0","3679","0"
"6813","2023","MROW","1684",,"0","0","0","0","0","0","0","0","1684"
