COUNTY,STATEABBRV,STCOFIPS,EAL_SCORE,SOVI_SCORE,RESL_SCORE,HWAV_AFREQ,HWAV_RISKS,HWAV_RISKR,HWAV_EALT,HWAV_EALR,HWAV_ALR_NPCTL,GEOID,County_Name
Gallatin,IL,17059,21.472772277227723,91.28498728,17.17557251908397,9.526315789473685,71.6441875401413,Relatively Low,623545.7128630744,Relatively Low,7.745159275452843,17059,Gallatin County
Greene,IL,17061,17.543316831683168,27.38549618,67.6208651399491,9.579041550345709,61.849710982658955,Relatively Low,686318.4493695772,Relatively Low,10.618363522798251,17061,Greene County
Grundy,IL,17063,83.72524752475248,10.62340967,99.49109414758269,4.316051168791255,45.857418111753375,Relatively Low,592116.6617606566,Relatively Low,72.6420986883198,17063,Grundy County
Hamilton,IL,17065,43.7190594059406,15.80788804,75.12722646310432,9.315789473684193,44.05908798972383,Relatively Low,345049.06984929735,Relatively Low,15.178013741411617,17065,Hamilton County
Hancock,IL,17067,28.18688118811881,64.82188295,61.35496183206107,9.157894736842112,80.44315992292871,Relatively Moderate,1285504.86882264,Relatively Low,41.5365396627108,17067,Hancock County
Hardin,IL,17069,6.868811881188119,58.90585242,25.44529262086514,9.47368421052631,34.48940269749518,Very Low,146841.22873968733,Very Low,11.648969394128668,17069,Hardin County
Henderson,IL,17071,12.685643564356436,77.06743003,37.11832061068702,9.000000000000005,52.15157353885678,Relatively Low,306838.02809616947,Relatively Low,28.638351030605868,17071,Henderson County
Henry,IL,17073,66.67698019801979,14.75826972,83.81043256997455,7.000000000000003,70.23121387283237,Relatively Low,1160923.5980578603,Relatively Low,5.4653341661461585,17073,Henry County
Iroquois,IL,17075,75.83539603960396,33.96946565,65.45801526717557,4.736842105263159,43.99486191393706,Relatively Low,288703.3125579191,Relatively Low,77.01436602123673,17075,Iroquois County
Jackson,IL,17077,83.69430693069307,76.59033079,65.20356234096693,10.578947368421051,90.68721901091843,Relatively Moderate,2421844.1242747568,Relatively Moderate,13.241723922548406,17077,Jackson County
Jasper,IL,17079,35.117574257425744,11.38676845,74.61832061068702,7.894736842105271,37.21901091843288,Very Low,271741.76252786233,Relatively Low,10.118675827607746,17079,Jasper County
Jefferson,IL,17081,76.05198019801979,52.8307888,79.1030534351145,9.894736842105258,81.27809890815672,Relatively Moderate,1474737.2164238663,Relatively Low,12.336039975015616,17081,Jefferson County
Jersey,IL,17083,38.459158415841586,10.62340967,82.82442748091603,11.104691671525243,79.28709055876686,Relatively Moderate,2275947.17868908,Relatively Moderate,9.931292941911305,17083,Jersey County
Jo Daviess,IL,17085,52.103960396039604,48.7913486,59.541984732824424,4.736842105263157,48.683365446371226,Relatively Low,330105.1942322766,Relatively Low,53.778888194878206,17085,Jo Daviess County
Johnson,IL,17087,42.11014851485149,81.96564885,47.55089058524173,10.473684210526335,68.85035324341683,Relatively Low,623348.402768656,Relatively Low,17.801374141161773,17087,Johnson County
Kane,IL,17089,95.60643564356435,16.98473282,63.74045801526718,3.1690046286394833,90.01284521515736,Relatively Moderate,3696987.657564207,Relatively Moderate,70.08119925046846,17089,Kane County
Kankakee,IL,17091,87.4381188118812,49.96819338,83.7150127226463,4.421346669168855,77.68143866409763,Relatively Low,1255117.093942418,Relatively Low,70.95565271705185,17091,Kankakee County
Kendall,IL,17093,88.33539603960396,10.62340967,96.02417302798982,3.5265036921384314,61.881824020552344,Relatively Low,1100807.1818285165,Relatively Low,71.48657089319175,17093,Kendall County
Knox,IL,17095,56.745049504950494,49.80916031,65.99872773536896,6.421052631578942,80.28259473346179,Relatively Moderate,1430178.3488001276,Relatively Low,13.085571517801375,17095,Knox County
Lake,IL,17097,97.06064356435643,14.05852417,78.05343511450383,2.4994859352387895,92.51766217084136,Relatively Moderate,4990712.873916212,Relatively Moderate,67.61399125546534,17097,Lake County
LaSalle,IL,17099,86.38613861386139,38.93129771,90.64885496183206,4.368421052631592,69.68529222864484,Relatively Low,909376.1702954991,Relatively Low,14.990630855715178,17099,LaSalle County
Lawrence,IL,17101,47.30816831683168,57.34732824,47.29643765903308,8.000000000000002,57.257546563904945,Relatively Low,450821.6464922665,Relatively Low,64.6158650843223,17101,Lawrence County
Lee,IL,17103,61.78836633663366,23.15521628,82.72900763358778,3.7368421052631553,31.856133590237633,Very Low,172366.70260736294,Very Low,16.770768269831354,17103,Lee County
Livingston,IL,17105,74.9690594059406,30.4389313,90.04452926208651,4.999999999999999,49.10083493898523,Relatively Low,385351.4512415729,Relatively Low,75.5153029356652,17105,Livingston County
Logan,IL,17107,61.045792079207914,38.35877863,82.1882951653944,7.684210526315786,74.95183044315993,Relatively Low,1173184.7974943097,Relatively Low,7.30793254216115,17107,Logan County
McDonough,IL,17109,35.36509900990099,61.86386768,74.33206106870229,9.0,82.20937700706486,Relatively Moderate,1427687.1727419693,Relatively Low,32.01124297314178,17109,McDonough County
McHenry,IL,17111,93.84282178217822,10.62340967,84.00127226463104,2.7909513889239563,75.49775208734746,Relatively Low,1844123.1879097596,Relatively Moderate,73.36039975015616,17111,McHenry County
McLean,IL,17113,89.01608910891089,15.07633588,95.45165394402035,6.263157894736848,85.22800256904303,Relatively Moderate,2616538.4695539875,Relatively Moderate,69.14428482198626,17113,McLean County
Macon,IL,17115,82.70420792079209,50.76335878,90.96692111959288,7.3157894736841955,90.26974951830444,Relatively Moderate,2892478.3391292193,Relatively Moderate,6.901936289818863,17115,Macon County
Macoupin,IL,17117,78.96039603960396,50.69974555,72.74173027989822,9.421052631578963,91.45793192035967,Relatively Moderate,3176029.2865259736,Relatively Moderate,20.2685821361649,17117,Macoupin County
Madison,IL,17119,94.3069306930693,25.89058524,86.19592875318067,14.736842105263108,98.00899165061014,Relatively High,16545101.606171148,Relatively High,30.855715178013742,17119,Madison County
